id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
12766.jpg,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Spykar Men Stripe Navy Blue T-Shirts
21120.jpg,Men,Apparel,Topwear,Sweaters,Purple,Fall,2011.0,Casual,s.Oliver Men Solid Purple Sweater
13472.jpg,Women,Apparel,Dress,Dresses,White,Summer,2011.0,Casual,United Colors of Benetton Women Solid White Dress
34062.jpg,Girls,Apparel,Dress,Dresses,Pink,Summer,2012.0,Casual,Gini and Jony Girls Printed Pink Dress
19183.jpg,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,United Colors of Benetton Men Check Grey Shirt
44924.jpg,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Jack & Jones Men Blue Jeans
52419.jpg,Women,Apparel,Loungewear and Nightwear,Nightdress,Coffee Brown,Winter,2015.0,Casual,Red Rose Women Coffee Brown Nightdress
14062.jpg,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Flying Machine Men Stripes Grey Polo Tshirts
10260.jpg,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2011.0,Formal,John Miller Men Line Grey Trousers
27278.jpg,Women,Apparel,Topwear,Kurtas,Brown,Fall,2011.0,Ethnic,Mother Earth Women Beige Kurta
15976.jpg,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Turtle Solid Men Purple Shirt
28808.jpg,Men,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,Denizen Men Striped Black Shirt
32565.jpg,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,ONLY Women Smock Blue Top
22393.jpg,Women,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,ADIDAS Women Verve Tee Grey T-shirt
16360.jpg,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Formal,Peter England Men Stripes Purple Shirt
34030.jpg,Boys,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Gini and Jony Boys Check Blue Shirt
13878.jpg,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Scullers Men Check Red Shirts
40383.jpg,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Tokyo Talkies Women Pink Top
58512.jpg,Women,Apparel,Topwear,Tops,Cream,Summer,2012.0,Casual,Tonga Women Printed Black Top
26995.jpg,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Jealous 21 Women Washed Light Blue Jeans
30651.jpg,Men,Apparel,Bottomwear,Track Pants,Black,Summer,2012.0,Sports,Nike Men Black Track Pants
40572.jpg,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,W Women Blue Kurta
21121.jpg,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,s.Oliver Men Check Navy Blue Shirt
19720.jpg,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,United Colors of Benetton Men Black Striped Shirt
3105.jpg,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Probase Men's Wtf Pink T-Shirt
52878.jpg,Women,Apparel,Saree,Sarees,Red,Summer,2012.0,Ethnic,FNF Red Sari
27473.jpg,Women,Apparel,Innerwear,Bra,Beige,Winter,2015.0,Casual,Jockey Women Beige Essence Bra 2001
19718.jpg,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Blue Shirt
8379.jpg,Girls,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Doodle Girl's Princess Lime Green Top
5002.jpg,Women,Apparel,Bottomwear,Shorts,Pink,Summer,2011.0,Casual,Gini and Jony Girl's Jolene Pink Kidswear
40120.jpg,Women,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,ADIDAS Women Green T-shirt
29177.jpg,Boys,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,United Colors of Benetton Boys Blue Shorts
30914.jpg,Women,Apparel,Topwear,Kurtis,Purple,Summer,2012.0,Ethnic,Fabindia Women Purple Kurti
59716.jpg,Women,Apparel,Loungewear and Nightwear,Nightdress,Black,Summer,2012.0,Casual,Avirate Black Babydoll Nightdress
37769.jpg,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,John Players Men Stripes White Shirt
25856.jpg,Women,Apparel,Topwear,Kurtas,Black,Summer,2012.0,Ethnic,Diva Women Black Floral Print Kurti
19664.jpg,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,United Colors of Benetton Men Black T-shirt
13395.jpg,Men,Apparel,Topwear,Shirts,Purple,Summer,2011.0,Casual,United Colors of Benetton Men Check Purple Shirts
5721.jpg,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Basics Men Blue & White Striped Polo T-shirt
16045.jpg,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Highlander Men Check White Shirt
28786.jpg,Men,Apparel,Topwear,Shirts,Grey,Summer,2012.0,Casual,Denizen Men Striped Grey Shirt
26876.jpg,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Jealous 21 Women White Top
38973.jpg,Men,Apparel,Topwear,Shirts,Grey,Summer,2012.0,Formal,Arrow New York Men Grey Check Slim Fit Shirt
30746.jpg,Men,Apparel,Topwear,Kurtas,Maroon,Summer,2012.0,Ethnic,Fabindia Men Printed Maroon Kurta
36814.jpg,Women,Apparel,Topwear,Kurtas,Maroon,Summer,2012.0,Ethnic,Vishudh Women Maroon Kurta
27165.jpg,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,Mark Taylor Men Striped Blue Shirt
27959.jpg,Men,Apparel,Innerwear,Trunk,White,Summer,2016.0,Casual,Jockey Sport Performance  Men White Trunks SP04
15605.jpg,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,Nike Men Football Soccer Navy Blue T-shirt
39067.jpg,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Arrow Sport Men Green T-shirt
15602.jpg,Men,Apparel,Topwear,Sweatshirts,Black,Summer,2012.0,Casual,Nike Men Casual Black Sweatshirts
41586.jpg,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Basics Men White Striped Shirt
37734.jpg,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,John Players Men Retro Beat Blue Shirt
39468.jpg,Women,Apparel,Topwear,Kurtis,Pink,Summer,2012.0,Ethnic,Diva Women Pink Kurti
3686.jpg,Women,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Inkfruit Women's Born Free Black T-shirt
7689.jpg,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Puma Men's Black Polo Neck T-shirt
9713.jpg,Men,Apparel,Topwear,Tshirts,Maroon,Fall,2011.0,Casual,Classic Polo Men Ikon Maroon Polo Tshirts
7817.jpg,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Proline Men Purple Striped Polo T-shirt
6909.jpg,Women,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Tantra Women's Page 03 Grey T-shirt
18185.jpg,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Deni Yo Men Washed Blue Slim Fit Jeans
4837.jpg,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Sher Singh Men's White Polo T-shirt
6593.jpg,Women,Apparel,Topwear,Tops,White,Summer,2011.0,Casual,Spykar Women's Sleeveles White Top
20322.jpg,Men,Apparel,Topwear,Shirts,Maroon,Summer,2011.0,Casual,Mother Earth Men Solid Maroon Shirt
31096.jpg,Boys,Apparel,Topwear,Shirts,Green,Summer,2012.0,Casual,Palm Tree Boys Check Green Shirt
35260.jpg,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Lee Women Jennifer Blue Top
9180.jpg,Men,Apparel,Topwear,Tshirts,Peach,Fall,2011.0,Casual,Tantra Men People Talk Peach T-shirt
3012.jpg,Men,Apparel,Topwear,Shirts,Green,Summer,2011.0,Casual,Lee Men Xavier Green White Check Shirt
37154.jpg,Men,Apparel,Topwear,Tshirts,Beige,Summer,2016.0,Casual,Campbell Men Pack of 3 T-shirts
2134.jpg,Men,Apparel,Topwear,Shirts,Purple,Spring,2011.0,Casual,Basics Men Purple Slim Fit Checked Shirt
51983.jpg,Women,Apparel,Loungewear and Nightwear,Nightdress,Purple,Summer,2017.0,Casual,Inaya Women Grape Babydoll Nightdress
50851.jpg,Women,Apparel,Saree,Sarees,Maroon,Fall,2012.0,Ethnic,Prafful Maroon Crepe Printed Saree
28928.jpg,Men,Apparel,Topwear,Tshirts,Charcoal,Summer,2012.0,Casual,Mr. Men Printed Charcoal T-shirt
28742.jpg,Women,Apparel,Topwear,Tops,Brown,Summer,2012.0,Casual,W Women Printed Dark Brown Top
11257.jpg,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Puma Men cover Black Tshirts
50036.jpg,Women,Apparel,Innerwear,Bra,Skin,Winter,2015.0,Casual,Hanes Women Skin Coloured Ultimate Wirefree Bra 83Z9PG449-004-PL
7887.jpg,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,2011.0,Casual,Proline Men Blue Track Pants
33935.jpg,Men,Apparel,Topwear,Tshirts,Turquoise Blue,Summer,2012.0,Casual,ADIDAS Men Polo Turquoise Blue T-Shirt
42509.jpg,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012.0,Ethnic,Mother Earth Women Beige Kurta
23966.jpg,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Peter England Men Purple Printed T-shirt
6999.jpg,Women,Apparel,Topwear,Tshirts,Magenta,Summer,2011.0,Casual,s.Oliver Women Meganta Printed T-Shirt
42394.jpg,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Flying Machine Women Purple T-shirt
3281.jpg,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Guerrilla Men's Ace Of Spades White T-shirt
9985.jpg,Women,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,Nike Women As Jdi Pixels Blue T-Shirts
33501.jpg,Women,Apparel,Bottomwear,Capris,Pink,Summer,2012.0,Casual,Doodle Kids Girl  Pink Capris
5780.jpg,Women,Apparel,Topwear,Tops,Purple,Summer,2011.0,Casual,Jealous 21 Women. Graphic Purple Top
47010.jpg,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Shree Women Green Kurta
18387.jpg,Men,Apparel,Innerwear,Briefs,Red,Summer,2016.0,Casual,Undercolors of Benetton Men Red Tanga Brief
41784.jpg,Women,Apparel,Dress,Dresses,Purple,Summer,2012.0,Casual,Remanika Women Purple Dress
22222.jpg,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Little Miss Women Magic White T-shirt
39238.jpg,Women,Apparel,Loungewear and Nightwear,Nightdress,Pink,Summer,2017.0,Casual,Femella Women Pink Nightdress
5745.jpg,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Basics Men Navy & White Striped Polo T-shirt
39809.jpg,Men,Apparel,Bottomwear,Trousers,Brown,Summer,2012.0,Formal,Peter England Men Brown Trousers
52356.jpg,Women,Apparel,Loungewear and Nightwear,Nightdress,White,Winter,2015.0,Casual,Red Rose Women White Nightdress
13792.jpg,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Proline Men Grey T-shirt
9502.jpg,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Formal,John Miller Men Cotton Blend Red Shirts
19622.jpg,Women,Apparel,Topwear,Tops,Green,Summer,2011.0,Casual,United Colors of Benetton Women Solid Green Top
43691.jpg,Girls,Apparel,Topwear,Tops,Yellow,Summer,2012.0,Casual,Doodle Girls Printed Yellow Top
50881.jpg,Women,Apparel,Saree,Sarees,Black,Summer,2012.0,Ethnic,Prafful Women Black Crepe Sari
25826.jpg,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,Diva Women Printed Brown Kurta
38597.jpg,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Nike Men Printed Texture Grey T-shirt
36264.jpg,Women,Apparel,Loungewear and Nightwear,Night suits,Pink,Summer,2017.0,Casual,SDL by Sweet Dreams Women Pink Playsuit
25819.jpg,Women,Apparel,Topwear,Kurtas,Grey,Summer,2012.0,Ethnic,Diva Women Printed Grey Kurta
13329.jpg,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Gini and Jony Kids Boys Printed White Tshirts
47032.jpg,Women,Apparel,Topwear,Kurtas,Red,Fall,2012.0,Ethnic,Shree Women Red & Black Kurta
53056.jpg,Women,Apparel,Saree,Sarees,Multi,Fall,2012.0,Ethnic,FNF Multi Coloured Printed Sari
13342.jpg,Women,Apparel,Bottomwear,Capris,Purple,Fall,2011.0,Casual,Gini and Jony Kids Girls Solid Purple Capris
24150.jpg,Men,Apparel,Topwear,Tshirts,Red,Spring,2012.0,Casual,ADIDAS Men Red T-shirt
16059.jpg,Men,Apparel,Bottomwear,Trousers,Olive,Fall,2011.0,Casual,Highlander Men Solid Olive Trouser
50680.jpg,Men,Apparel,Innerwear,Trunk,White,Summer,2016.0,Casual,Chromozome Men White Trunks
20193.jpg,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011.0,Casual,Wrangler Men Seattle Embro Grey Sweatshirt
46381.jpg,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,ADIDAS Men Black Printed T-shirt
50446.jpg,Men,Apparel,Innerwear,Briefs,Black,Summer,2016.0,Casual,Chromozome Men Pack of Two Briefs
4081.jpg,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Men's Type Bee Grey Melange T-shirt
44845.jpg,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Puma Men Red Ducati Logo T-shirt
48444.jpg,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,French Connection Men Black T-shirt
4840.jpg,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Sher Singh Men's Red Polo T-shirt
2971.jpg,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Casual,Puma Men's Sless Black T-shirt
25040.jpg,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Sports,Nike Men Sublimated Grey Jersey
9931.jpg,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Basics Men Blue T-shirt
24502.jpg,Men,Apparel,Topwear,Belts,Brown,Fall,2015.0,Formal,Pacific Gold Men Brown Leather Belt
59703.jpg,Women,Apparel,Innerwear,Briefs,Black,Summer,2014.0,Casual,Avirate Black & White Brief
17571.jpg,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Mark Taylor Men Blue & White Striped Shirt
27546.jpg,Men,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,Scullers Men Check Black Shirt
34363.jpg,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Myntra Men Blue Extreme-XXX-Diet T-shirt
14300.jpg,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Classic Polo Men Printed pack of 3 Tshirts
28536.jpg,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Sports,Nike Men Relay Red T-shirt
34955.jpg,Women,Apparel,Saree,Sarees,Beige,Summer,2012.0,Ethnic,Fabindia Beige Jaipur Print Cotton Sari
11681.jpg,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Lee Men Check Red Shirts
57069.jpg,Women,Apparel,Topwear,Jackets,Charcoal,Summer,2012.0,Casual,Elle Women Charcoal Waistcoat
19075.jpg,Women,Apparel,Topwear,Kurtas,Pink,Fall,2011.0,Ethnic,W Women Floral Print Pink Kurta
18705.jpg,Men,Apparel,Innerwear,Briefs,White,Summer,2016.0,Casual,Hanes Men White Ultimate Duo Dry Cotton Stretch Hip Briefs
34158.jpg,Girls,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Gini and Jony Girls Printed White Top
45752.jpg,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Folklore Women Green Kurta
20331.jpg,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Mr.Men Little Miss Men Purple Tshirt
4421.jpg,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Wrangler Men's Champion Burnt Out Striper Off White Olive T-shirt
5507.jpg,Women,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Nike Women's Tennis Black T-shirt
32459.jpg,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,ADIDAS Men Tank Green T-shirt
9791.jpg,Men,Apparel,Topwear,Tshirts,Brown,Fall,2011.0,Casual,Classic Polo Men Ikon Brown Polo Tshirts
17184.jpg,Men,Apparel,Topwear,Shirts,Blue,Winter,2016.0,Casual,U.S. Polo Assn. Men Stripes Blue Shirt
13729.jpg,Men,Apparel,Topwear,Shirts,Pink,Fall,2011.0,Formal,Belmonte Men Stripes Pink Shirts
4841.jpg,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Sher Singh Men's India White Polo T-shirt
32208.jpg,Women,Apparel,Topwear,Kurtas,Orange,Summer,2012.0,Ethnic,Fabindia Women Orange Kurta
28905.jpg,Women,Apparel,Topwear,Kurtas,Multi,Summer,2012.0,Ethnic,BIBA Women Printed Multi Coloured Kurta
43050.jpg,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Sports,Nike Men Blue FFF Football Jersey
24390.jpg,Women,Apparel,Topwear,Kurtas,Turquoise Blue,Fall,2011.0,Ethnic,Folklore Women Turquoise Blue Printed Kurta
28106.jpg,Men,Apparel,Innerwear,Boxers,Charcoal,Summer,2016.0,Casual,Jockey MODERN CLASSIC Men Charcoal Boxer 8009
57033.jpg,Women,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,Forever New Women Black Shirt
12328.jpg,Men,Apparel,Topwear,Shirts,Blue,Winter,2011.0,Formal,Genesis Blue Formal Shirt
3324.jpg,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,KKR Boys Fangear Tee
19191.jpg,Men,Apparel,Topwear,Shirts,Charcoal,Summer,2011.0,Casual,United Colors of Benetton Men Charcoal Shirt
7922.jpg,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Proline Men Green & White Striped Polo T-shirt
5823.jpg,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Puma Men's Heroes Graphic Red T-shirt
10675.jpg,Women,Apparel,Topwear,Tops,Black,Fall,2011.0,Casual,Doodle Girl Princess Black Tops
2695.jpg,Boys,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Disney Kids Boy's Baby Mickey Surf Kidswear
7783.jpg,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,Urban Yoga Men Dhauti Black Track Pant
27003.jpg,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Jealous 21 Women Washed Blue Jeans
56855.jpg,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Party,John Players Men Blue Shirt
33297.jpg,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Arrow Sport Men Blue Striped Slim Fit Shirt
2491.jpg,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,Puma Men's Sleevless-Hawaian Blue T-shirt
5486.jpg,Boys,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Ant Kids Boy's Whats Up Navy Kidswear
16124.jpg,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,ADIDAS Men Navy Blue Polo TShirts
28879.jpg,Women,Apparel,Bottomwear,Leggings,Red,Summer,2012.0,Casual,BIBA OUTLET Women Red Leggings
32973.jpg,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Mr. Men Printed Blue T-shirt
9842.jpg,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Classic Polo Men Ikon Red Polo Tshirts
9628.jpg,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Indigo Nation Men Plain Shirt Blue Shirts
7144.jpg,Women,Apparel,Topwear,Tops,Blue,Fall,2011.0,Casual,Scullers For Her Women's Wow Knit Blue Top
3948.jpg,Women,Apparel,Topwear,Tops,White,Summer,2011.0,Casual,Jealous 21 Women White Flower Black Stripe Top
11997.jpg,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Classic Polo Men Stripes Green Tshirts
26943.jpg,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,Jealous 21 Women Printed Yellow T-shirt
1885.jpg,Men,Apparel,Bottomwear,Shorts,Grey,Winter,2010.0,Casual,FIFA Mens 1904 Heritage Shorts
11363.jpg,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,United Colors of Benetton Men Solid Black Tshirt
53787.jpg,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Puma Men White & Green T-shirt
13291.jpg,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Gini and Jony Kids Boys Printed Green Tshirts
2867.jpg,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Inkfruit Men's Just bowl It Black T-shirt
52299.jpg,Men,Apparel,Innerwear,Boxers,Red,Summer,2016.0,Casual,Crusoe Men Red Printed Get Away Boxers R09
20229.jpg,Women,Apparel,Topwear,Sweaters,Blue,Fall,2011.0,Casual,Wrangler Women Cable Blue Sweater
22328.jpg,Men,Apparel,Topwear,Sweaters,Navy Blue,Fall,2011.0,Casual,John Players Men Stripes Navy Blue Sweater
42808.jpg,Women,Apparel,Innerwear,Briefs,Pink,Summer,2012.0,Casual,Little Miss Intimates Women Pink Brief
3121.jpg,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Probase Men's Player Tee Green T-shirt
57344.jpg,Women,Apparel,Innerwear,Bra,Purple,Winter,2015.0,Casual,Amante Purple Bra-BGDI03
22326.jpg,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,John Players Men Blue Striped Polo T-Shirt
27466.jpg,Women,Apparel,Innerwear,Briefs,Black,Winter,2017.0,Casual,Jockey Women Black Bikini Brief 1803-0105
2204.jpg,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,ADIDAS Men Black Polo T-shirt
27230.jpg,Women,Apparel,Bottomwear,Capris,White,Summer,2012.0,Casual,Doodle Kids Girl  White Capris
12329.jpg,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Formal,Genesis Men Check Navy Blue Shirts
18283.jpg,Women,Apparel,Topwear,Kurtas,Purple,Fall,2011.0,Ethnic,Aneri Women Cleo Purple Kurta
15557.jpg,Men,Apparel,Topwear,Sweaters,Blue,Fall,2011.0,Casual,Spykar Men Stripes Blue Sweaters
6001.jpg,Men,Apparel,Topwear,Shirts,Grey,Summer,2011.0,Casual,Highlander Men Grey Red Checked Slim Fit Shirt
4968.jpg,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Gini and Jony Boy's Kaffle Yellow Infant Kidswear
14041.jpg,Men,Apparel,Topwear,Shirts,Brown,Winter,2016.0,Casual,Flying Machine Men Check Brown Shirts
13607.jpg,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016.0,Casual,Hanes Men Sleeveless Crew Grey Innerwear T-shirt
2096.jpg,Men,Apparel,Topwear,Shirts,Green,Winter,2010.0,Casual,Lee Men Olive Green Shirt
46896.jpg,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Locomotive Men Blue Jeans
14626.jpg,Women,Apparel,Topwear,Sweatshirts,Red,Fall,2011.0,Casual,United Colors of Benetton Women Solid Red Sweat Shirts
22344.jpg,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,John Players Men Printed Red T-Shirt
28474.jpg,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Urban Yoga Women Pink Top
